location,fund_manager,financial_product,target_area,match_our_projects,opportunities,how_to_approach,support_type,eif_commitment,address,website,email,phone,country_primary,eif_commitment_eur,fund_type,manager_name,solar_fit,hydrogen_fit,desalination_fit,sdg_tags,sdg_count,score_project_fit,score_commitment,score_sdg,score_contact,score_geography,fit_score_10,priority_tier,outreach_status,outreach_notes
Spain,"Suma Capital SGEIC SA leading manager in responsible investment. committed to shared economic growth and to generating a positive long-term impact on our society and the environment through three investment strategies: SC Infra, SC Expansion and SC Venture.","SC Climate Impact Fund III SC Infra → Clean energy, resource efficiency, and decarbonization. SC Expansion → Growing companies with strong impact potential. SC Venture → Startups focused on sustainability, circular economy, and industrial decarbonization.",Clean Energy Transition-Climate;Digital Connectivity & Data Infrastructure;Environment and resources;Sustainable Transport Infrastructure,,"Funding, VC","Hydrogen, Solar and Desalination projects are suitable.",Infrastructure," EUR 41,250,000 ","Av Diagonal 640 5F, 08017 barcelona",http://sumacapitalcom/en,info@sumacapital.com,(+)34 933 680 203,Spain,41250000.0,Infrastructure,Suma Capital SGEIC SA leading manager in responsible investm,1,1,1,,0,3,2.0,0,2.0,1.0,8.0,Tier 1 - Priority,Not contacted,
Global,"Impact Bridge is a Spanish asset management company devoted exclusively to quality impact investments that generate authentic, intentional, and measurable impact.",Debt and hybrid debt-equity fund,Connect the financial and business sectors with the social one to promote social cohesion and building a better world.SDGs goals and with self tool to evaluate projects,,Debt and hybrid debt-equity fund,"Hydrogen, Solar and Desalination projects are suitable we should prepare proposal and explain our company projects. Following the global goals we could prepare an application under SDG 6 CLEAN Water and Sanitation (for desalination) Number 7 Renewable Energy, SDG 9 – Industry, Innovation, and Infrastructure.",Generalist,,"Velazquez14,28001Madrid",Impact Bridge: Solucionando problemas globales a través de la inversión de impacto,info@impactbridge.com,(+)34 918 53 28 08,Global,,Debt,Impact Bridge is a Spanish asset management company devoted ,1,1,1,"6, 9",2,3,0.0,1,2.0,1.0,7.0,Tier 1 - Priority,Not contacted,
Spain,Impact Bridge Carlos de Abajo Co-Head AgriFood Fund Fernando Sanz-Pastor Co-Head AgriFood Fund,"Venture Capital Fund (FCR) and parallel Venture Capital Society (SCR) that invest in SMEs in the agri-food sector, with the aim of accelerating their sustainable growth.",IB SUSTAINABLE AGRIFOOD SDG with self tool to evaluate projects,,"IB SUSTAINABLE AGRIFOOD FUND I INNVIERTE, F.C.R. / IB SUSTAINABLE AGRIFOOD, S.C.R., S.A.","SDG 6 CLEAN Water and Sanitation (for desalination) SDG 9 – Industry, Innovation, and Infrastructure( for desalination) SDG 14 – Life Below Water → Sustainable desalination methods (e.g., solar-powered or low-brine discharge) help minimize marine ecosystem impact.",,The investment in each project ranges between €5 and €20 million.,,Impact Bridge: Solucionando problemas globales a través de la inversión de impacto,,,Spain,20.0,VC,Impact Bridge Carlos de Abajo Co-Head AgriFood Fund Fernando,1,0,1,"6, 9, 14",3,2,0.5,2,0.5,1.0,6.0,Tier 2 - Secondary,Not contacted,
Spain and Portugal,Impact Bridge Cristina González Viu General Manager of MicroBank is in charge of the fund.,Closed-end private debt fund,SDG with self tool to evaluate projects,,"Debt IB Deuda Impacto españa, F.E.S.E. finance impactful SMEs in Spain. (>85% portfolio) and Portugal.",SDG 7 Renewable Energy,,,,Impact Bridge: Solucionando problemas globales a través de la inversión de impacto,,,Spain & Portugal,,Debt,Impact Bridge Cristina González Viu General Manager of Micro,1,0,0,7,1,1,0.0,1,0.5,1.0,3.5,Tier 3 - Monitor,Not contacted,
Global,Impact Bridge Rebecca Eastmond Co-Founder & CEO at Greenwood Place,Open-ended short-term private debt fund with quarterly liquidity and monthly valuation.,SDG with self tool to evaluate projects,,"IB IMPACT BEBT, F.I.L more than 80 countries and financing to companies and micro-entrepreneurs. Invests in funds and direct investments with five main impact themes: access to basic services, climate change, decent work creation, financial inclusion and women's empowerment.",SDG 6 CLEAN Water and Sanitation (for desalination) Number 7 Renewable Energy,,,,Impact Bridge: Solucionando problemas globales a través de la inversión de impacto,,,Global,,Debt,Impact Bridge Rebecca Eastmond Co-Founder & CEO at Greenwood,1,0,1,6,1,2,0.0,1,0.5,1.0,4.5,Tier 2 - Secondary,Not contacted,
Global,Impact Bridge Louisa Brassey Chair of the Lucille Foundation.,Open Private Debt Fund with Semiannual Liquidity and Monthly Valuation.,SDG with self tool to evaluate projects,,"IB Impact Direct Debt, F.I.L. Invests in debt assets of companies addressing both social challenges, such as access to basic services, fair job creation, financial inclusion, and women's empowerment, as well as environmental challenges.",SDG 6 CLEAN Water and Sanitation (for desalination),,,,Impact Bridge: Solucionando problemas globales a través de la inversión de impacto,,,Global,,Debt,Impact Bridge Louisa Brassey Chair of the Lucille Foundation,0,0,1,6,1,1,0.0,1,0.5,1.0,3.5,Tier 3 - Monitor,Not contacted,
Spain,"Arta Capital Fund III, FCR A private equity investor in the Iberian mid-market supporting families, founders, and entrepreneurs that generate long-term growth while maximizing its positive contribution to society and the environment.",Private Equity,ESG,,"Investment in family-owned and founder-led companies with the potential to generate sustainable growth and create jobs. Ongoing support in strategic decisions to create long-term environmental, social and corporate governance impact",Reach out to them to provide an overview of the company and explain what we do.,Generalist,"EUR 28,000,00","Paseo de la Castellana 42, 28046 Madrid",Home - Artá Capital,@artacapital.com,+(34) 91 781 78 82,Spain,2800000.0,PE,Arta Capital Fund III,0,0,0,,0,0,0.5,0,2.0,1.0,3.5,Tier 3 - Monitor,Not contacted,
Worldwide & Spain,"Axon Partners Group Investment, S.G.E.I.C., We partner with visionary leaders to create value and drive innovation in technology.",Private Equity,"Early-stage innovations into scalable solutions such as energy transition, smart cities, agro-tech, and water treatment.",,"Sustainability and Deep Tech We partner with leading entrepreneurs in climate-tech and impact verticals worldwide, supporting highly disruptive technologies that address global environmental challenges Connect entrepreneurs with key stakeholders.",Reach out to them to provide an overview of the company and align we one of the following: 1.Solar Projects seeking value in energy transition to corporates exploring breakthrough technologies. 2.Water treatment,Generalist,"EUR 21,000,000","Calle Sagasta, 18 3 Plt, 28004 Madrid",Sustainability and Deep Tech – Axon Partners Group,Contact us – Axon Partners Group,+34 913 102 894,Spain,21000000.0,PE,Axon Partners Group Investment,1,0,1,,0,2,1.0,0,2.0,1.0,6.0,Tier 2 - Secondary,Not contacted,
Spain & Sweden & Portugal,"Alantra Multi Asset SGIIC, SA Global investment banking and asset management firm",Debt and hybrid debt-equity funds. Private Equity,"ESG Food and Beverage, Industrials, Healthcare and Technology.",,"Alteralia III and PEF IV Debt and the equity markets– that directly promote ESG characteristics through their investments. PAN-EUROPEAN ENERGY TRANSITION TECH FUND Solar Energy Fund European Venture Capital Funds aimed at generating value for investors by acquiring temporary stakes in portfolio companies. The goal is to support the acquisition, development, financing, construction, and management of photovoltaic plants, initially in Spain and Italy, with an estimated initial capacity of 1,665 MWp.",Solar Projects. Batteries. Smart Grid. Energy Efficiency. Storage.,Generalist,"EUR  1,152,063
EUR 20,277,750","CALLE JOSE ORTEGA Y GASSET, 29, 28006 MADRID",https://www.alantra.com/what-we-do/alternative-asset-management/creating-value-through-esg/,via website or Linkedin Lucille Bonnet Managing Partner Bastien Gambini Managing Partner Iñigo Echaniz Managing Director,Madrid Calle de José Ortega y Gasset 29 28006 Madrid +34 917 458 484 Stockholm Västra Trädgårdsgatan 15 111 53 Stockholm +46 705 086 725 Lisbon Rua Alexandre Herculano 25-3rd Floor 1250-008 Lisbon +35 121 152 2282,Spain & Portugal,20277750.0,VC,Alantra Multi Asset SGIIC,1,0,0,,0,1,1.0,0,2.0,1.0,5.0,Tier 2 - Secondary,Not contacted,
Sweden,"NIAM Infrastructure invests in Nordic infrastructure through a value-add strategy focusing on energy transition, digital infrastructure and industry and transport electrification.",Climate and Infrastructure Funds Product SIW,Sustainable infrastructure,,"Value-Add Infrastructure focusing on energy transition,",Solar Projects,Infrastructure," EUR 51,776,66","Stureplan 3, 111 45 Stockholm, Sweden",https://www.niam.se/haallbarhet/upplysningar/,fredrik.andersson@niam.com,"Fredrik Andersson CFO, Niam Credit +46 768 710 009",Sweden,5177666.0,Infrastructure,NIAM Infrastructure invests in Nordic infrastructure through,1,0,0,,0,1,0.5,0,2.0,0.5,4.0,Tier 2 - Secondary,Not contacted,
