country,fund_name,fund_manager,financial_product,target_area,support_type,sector_focus,commitment_eur,currency,address,website
Austria,3VC II SCSp,3VC Partners GmbH,,Artificial Intelligence (AI);Blockchain and Distributed Ledger Technologies (BT/DLT);Cybersecurity;Other Digital,Venture Capital,,15000000.0,EUR,AM BELVEDERE 4,three.vc
Austria,Fund EuVECA GmbH & Co KG,Fund GmbH,,Social impact Investing &amp; Social Innovation,Venture Capital,,10000000.0,EUR,Stiftgasse 21/18,https://fund-f.com/
Belgium,( entre for Drug Design and,en esearch &,EIF Enabling sectors,Life science and health,TTA,Science,35000000.0,EUR,Leuven,http://www.cd3.eu/
Belgium,Fortino Capital Growth PE II BV,Fortino Capital Partners NV,EIF CMU,Growth and expansion,Venture Capital,,50000000.0,EUR,Borsbeeksebrug 36,https://www.fortinocapital.com/
Belgium,imec.xpand II,XPAND Partners BV,EIF Enabling sectors,Semiconductor chips;Semiconductor technologies,Venture Capital,ICT,35000000.0,EUR,Kapeldreef 75,https://imecxpand.com/
Belgium,tio Growth Investors Fund,Junction Growth Partners,EIF C&E Solutions,,Venture Capital,,16200000.0,EUR,Tervuursesteenweg 205,
Belgium,M80 Fund II CommV,M80 Partners,EIF CMU,Growth and expansion,Private Equity,Generalist,22000000.0,EUR,"158, rue de Rivourne",https://m80partners.com/
Belgium,Qbic III Fund,Qbic Venture Partners III,EIF C&E Solutions,,TTA,Generalist,15500000.0,EUR,Hekers 3,https://www.qbic.be/
Belgium,Qbic III Fund,Qbic Venture Partners III,,,TTA,Generalist,4000000.0,EUR,Hekers 3,https://www.qbic.be/
Belgium,Qbic III Fund,Qbic Venture Partners III,EIF Enabling sectors,,TTA,Generalist,15500000.0,EUR,Hekers 3,https://www.qbic.be/
Belgium,Smartfin Capital III,Smartfin Management,,Other Digital,Venture Capital,,39245000.0,EUR,Priester Cuypersstraat 3,https://smartfinvc.com
Belgium,Vives Inter-University Fund,Vives Partners Srl,EIF Enabling sectors,"Agriculture, Food, natural capital preservation and use of land resources;Life science and health",TTA,,25000000.0,EUR,Chemin du Stocquoy 1,https://www.vivesfund.com/en
Belgium,. gr ne ab Energy,ATTS.green Investments,ra nds,Clean Energy Transition-Climate,Infrastructure,,33575130.0,EUR,Rue des Garennes 86,http://www.watts.green/
Denmark,Capidea Kapital IV KS,Capidea Management APS,EIF CMU,Growth and expansion,Private Equity,Generalist,225000000.0,DKK,Store Kongensgade 118 1. th.,http://www.capidea.eu/
Denmark,PSV Hafnium Fund KS,Hafnium Management,EIF C&E Solutions,s o l u ti o n s ; I n d u s t r ia l d e c a rb o n is a t i o n & a m p ; e n v ir o n m e n ta l su s t a in a b il i ty ;M ob il it y a n d tr an s p o rt s o l u tio n s ;O th e r,TTA,,185000000.0,DKK,Diplomvej 381,
Estonia,BaltCap Infrastructure Fund II,BaltCap AS,,,Infrastructure,,8113245.0,EUR,Maakri 30,https://baltcap.com
